state,scenario,analysis,emissions,MismatchMult
AR,Electrification 95 by 2050,v6.2jedi_high,95% by 2050,1.817904285892175
AR,Electrification 95 by 2050,v6.2jedi_low,95% by 2050,2.3083614393305067
AR,Electrification 95 by 2050,v6.2jedi_mid,95% by 2050,1.904658144708095
AR,Electrification 95 by 2050,v6.2nei_high,95% by 2050,1.5844455853833266
AR,Electrification 95 by 2050,v6.2nei_low,95% by 2050,1.9788340509787388
AR,Electrification 95 by 2050,v6.2nei_mid,95% by 2050,1.6542064626037534
AR,Electrification EnhancedFlex,v6.2jedi_high,NNP,1.3567920777825782
AR,Electrification EnhancedFlex,v6.2jedi_low,NNP,1.5081271480228675
AR,Electrification EnhancedFlex,v6.2jedi_mid,NNP,1.3836655134637124
AR,Electrification EnhancedFlex,v6.2nei_high,NNP,1.2122382982275544
AR,Electrification EnhancedFlex,v6.2nei_low,NNP,1.3339301430038326
AR,Electrification EnhancedFlex,v6.2nei_mid,NNP,1.2338478164860873
AR,Electrification EnhancedFlex 95 by 2035,v6.2jedi_high,95% by 2035,1.4712431120307092
AR,Electrification EnhancedFlex 95 by 2035,v6.2jedi_low,95% by 2035,1.6167210700253427
AR,Electrification EnhancedFlex 95 by 2035,v6.2jedi_mid,95% by 2035,1.498504327384159
AR,Electrification EnhancedFlex 95 by 2035,v6.2nei_high,95% by 2035,1.304301938545497
AR,Electrification EnhancedFlex 95 by 2035,v6.2nei_low,95% by 2035,1.4212809544255853
AR,Electrification EnhancedFlex 95 by 2035,v6.2nei_mid,95% by 2035,1.3262227173885668
AR,Electrification EnhancedFlex 95 by 2050,v6.2jedi_high,95% by 2050,1.9786083370994343
AR,Electrification EnhancedFlex 95 by 2050,v6.2jedi_low,95% by 2050,2.3711779567123408
AR,Electrification EnhancedFlex 95 by 2050,v6.2jedi_mid,95% by 2050,2.0464558838628157
AR,Electrification EnhancedFlex 95 by 2050,v6.2nei_high,95% by 2050,1.714680818276995
AR,Electrification EnhancedFlex 95 by 2050,v6.2nei_low,95% by 2050,2.030346561732316
AR,Electrification EnhancedFlex 95 by 2050,v6.2nei_mid,95% by 2050,1.7692371191741476
AR,High Demand Growth,v6.2jedi_high,NNP,1.4748310163053024
AR,High Demand Growth,v6.2jedi_low,NNP,1.654387920133377
AR,High Demand Growth,v6.2jedi_mid,NNP,1.5048536265502455
AR,High Demand Growth,v6.2nei_high,NNP,1.3080849158166383
AR,High Demand Growth,v6.2nei_low,NNP,1.4526654043705312
AR,High Demand Growth,v6.2nei_mid,NNP,1.3322593338664908
AR,High Demand Growth 95 by 2035,v6.2jedi_high,95% by 2035,0.9057618946865905
AR,High Demand Growth 95 by 2035,v6.2jedi_low,95% by 2035,0.9277088331809267
AR,High Demand Growth 95 by 2035,v6.2jedi_mid,95% by 2035,0.9088898778402471
AR,High Demand Growth 95 by 2035,v6.2nei_high,95% by 2035,0.8504425827486284
AR,High Demand Growth 95 by 2035,v6.2nei_low,95% by 2035,0.8681144128043059
AR,High Demand Growth 95 by 2035,v6.2nei_mid,95% by 2035,0.8529612569009578
AR,High Demand Growth 95 by 2050,v6.2jedi_high,95% by 2050,1.9860867781197595
AR,High Demand Growth 95 by 2050,v6.2jedi_low,95% by 2050,2.4143055066917745
AR,High Demand Growth 95 by 2050,v6.2jedi_mid,95% by 2050,2.0531271465728533
AR,High Demand Growth 95 by 2050,v6.2nei_high,95% by 2050,1.7202131093006545
AR,High Demand Growth 95 by 2050,v6.2nei_low,95% by 2050,2.0650178573494893
AR,High Demand Growth 95 by 2050,v6.2nei_mid,95% by 2050,1.7741944880008669
